bill,sponsors
SB236,R. Alvarado
SB236,D. Carroll
SB236,M. Wise
SB237,C. McDaniel
SB238,D. Givens
SB238,J. Carroll
SB239,D. Givens
SB24,R. Thomas
SB240,D. Givens
SB241,B. Smith
SB242,D. Ridley
SB243,M. McGarvey
SB244,M. McGarvey
SB245,NA
SB246,R. Webb
SB247,D. Carroll
SB248,J. Carpenter
SB249,J. Carpenter
SB250,A. Kerr
SB250,D. Parrett
SB250,R. Thomas
SB251,M. McGarvey
SB252,W. Westerfield
SB253,M. McGarvey
SB26,J. Schickel
SB26,D. Carroll
SB26,R. Girdler
SB27,J. Schickel
SB28,G. Neal
SB29,D. Parrett
SB29,R. Girdler
SB29,R. Thomas
SB3,C. McDaniel
SB3,J. Adams
SB3,R. Alvarado
SB3,J. Bowen
SB3,D. Carroll
SB3,R. Girdler
SB3,J. Schickel
SB3,W. Schroder
SB3,D. Seum
SB3,D. Thayer
SB3,M. Wise
SB30,W. Westerfield
SB31,D. Carroll
SB31,S. Meredith
SB31,M. Wise
SB32,D. Carroll
SB32,R. Alvarado
SB32,R. Girdler
SB32,S. Meredith
SB32,M. Wise
SB33,R. Thomas
SB34,G. Neal
SB35,G. Neal
SB36,G. Neal
SB37,G. Neal
SB38,J. Bowen
SB38,D. Parrett
SB39,D. Carroll
SB4,R. Alvarado
SB4,D. Thayer
SB4,D. Carroll
SB4,R. Girdler
SB4,S. Humphries
SB4,A. Kerr
SB4,S. Meredith
SB4,D. Seum
SB4,W. Westerfield
SB4,M. Wise
SB40,D. Carroll
SB40,M. Wise
SB41,J. Schickel
SB42,J. Schickel
SB42,D. Carroll
SB42,S. Meredith
SB43,J. Bowen
SB44,R. Thomas
SB45,J. Bowen
SB46,R. Thomas
SB47,J. Carroll
SB48,J. Schickel
SB48,S. Humphries
SB5,B. Smith
SB5,W. Westerfield
SB5,R. Alvarado
SB5,J. Bowen
SB5,D. Carroll
SB5,R. Girdler
SB5,S. Meredith
SB5,D. Parrett
SB5,A. Robinson
SB5,J. Schickel
SB5,D. Seum
SB5,D. Thayer
SB5,M. Wilson
SB5,M. Wise
SB50,D. Thayer
SB50,R. Alvarado
SB50,P. Hornback
SB51,W. Westerfield
SB51,D. Carroll
SB51,P. Hornback
SB52,C. McDaniel
SB53,J. Schickel
SB54,J. Schickel
SB55,T. Buford
SB56,R. Webb
SB56,D. Givens
SB56,R. Thomas
SB57,P. Clark
SB57,S. West
SB58,J. Schickel
SB59,W. Westerfield
SB6,R. Alvarado
SB6,D. Seum
SB6,D. Thayer
SB6,M. Wise
SB60,A. Kerr
SB60,J. Higdon
SB61,E. Harris
SB62,M. McGarvey
SB62,T. Buford
SB63,M. McGarvey
SB63,R. Thomas
SB64,J. Carroll
SB65,J. Carroll
SB66,J. Adams
SB67,J. Adams
SB68,G. Neal
SB69,G. Neal
SB7,A. Robinson
SB7,R. Alvarado
SB7,R. Girdler
SB7,P. Hornback
SB7,S. Meredith
SB7,J. Schickel
SB7,D. Seum
SB7,D. Thayer
SB7,R. Webb
SB7,S. West
SB7,M. Wilson
SB70,G. Neal
SB71,G. Neal
SB72,G. Neal
SB72,R. Thomas
SB73,C. Embry Jr.
SB74,T. Buford
SB75,D. Thayer
SB75,W. Schroder
SB76,P. Clark
SB77,R. Jones II
SB78,R. Alvarado
SB78,J. Adams
SB79,R. Alvarado
SB79,D. Carroll
SB8,M. Wise
SB8,R. Girdler
SB8,S. Meredith
SB8,D. Thayer
SB8,S. West
SB8,W. Westerfield
SB8,M. Wilson
SB80,M. Wilson
SB81,C. Embry Jr.
SB82,C. Embry Jr.
SB83,T. Buford
SB84,R. Thomas
SB85,R. Alvarado
SB86,R. Alvarado
SB87,D. Seum
SB87,W. Westerfield
SB88,D. Seum
SB89,J. Adams
SB89,R. Alvarado
SB89,D. Carroll
SB89,M. McGarvey
SB9,J. Schickel
SB9,T. Buford
SB9,J. Adams
SB9,J. Carpenter
SB9,R. Girdler
SB9,E. Harris
SB9,P. Hornback
SB9,C. McDaniel
SB9,S. West
SB9,W. Westerfield
SB90,R. Thomas
