Bill,Sponsor
HB 255,J. DeCesare
HB 255,J. Richards
HB 26,HB 14
HB 26,M. Hart
HB 26,K. King
HB 262,R. Webber
HB 265,W. Thomas
HB 265,M. Castlen
HB 265,M. Dossett
HB 265,M. Hart
HB 265,R. Heath
HB 265,K. Imes
HB 265,S. Miles
HB 265,R. Mills
HB 265,J. Petrie
HB 265,P. Pratt
HB 265,B. Reed
HB 268,M. Hart
HB 268,R. Rothenburger
HB 268,R. Bunch
HB 268,J. Greer
HB 268,T. Moore
HB 268,R. Palumbo
HB 269,S. Riley
HB 27,J. Stewart III
HB 270,DJ Johnson
HB 270,R. Mills
HB 270,J. Tipton
HB 270,K. Upchurch
HB 271,R. Mills
HB 271,A. Koenig
HB 271,M. Meredith
HB 271,J. Nemes
HB 271,R. Palumbo
HB 271,S. Santoro
HB 271,S. Westrom
HB 274,P. Pratt
HB 276,P. Moffett
HB 284,M. Meredith
HB 289,J. Blanton
HB 293,R. Rothenburger
HB 293,B. Reed
HB 294,S. Miles
HB 294,D. Hale
HB 294,DJ Johnson
HB 294,C. McCoy
HB 299,M. Castlen
HB 299,L. Brown
HB 3,J. Hoover
HB 3,A. Koenig
HB 3,R. Benvenuti III
HB 3,K. Bratcher
HB 3,J. Carney
HB 3,J. DeCesare
HB 3,R. Heath
HB 3,T. Herald
HB 3,D. Johnson
HB 3,K. King
HB 3,S. Lee
HB 3,D. Meade
HB 3,J. Miller
HB 3,K. Moser
HB 3,D. Osborne
HB 3,P. Pratt
HB 3,S. Santoro
HB 3,J. Shell
HB 3,D. St. Onge
HB 3,W. Thomas
HB 3,A. Wuchner
HB 304,A. Wuchner
HB 304,M. Marzian
HB 304,K. Flood
HB 304,M. Hart
HB 304,K. Moser
HB 304,R. Palumbo
HB 304,M. Prunty
HB 304,S. Westrom
HB 306,M. Meredith
HB 306,B. Reed
HB 306,L. Bechler
HB 306,D. Hale
HB 306,T. Moore
HB 306,P. Pratt
HB 306,J. Richards
HB 306,B. Rowland
HB 306,J. Tipton
HB 311,T. Moore
HB 311,J. Blanton
HB 311,D. Johnson
HB 311,M. Prunty
HB 311,W. Thomas
HB 311,J. Tipton
HB 312,S. Riley
HB 312,D. Mayfield
HB 314,D. Bentley
HB 314,A. Wuchner
HB 314,K. Moser
HB 318,M. Meredith
HB 324,S. Wells
HB 329,J. Fischer
HB 337,S. Rudy
HB 343,L. Brown
HB 35,J. Miller
HB 350,R. Bunch
HB 350,M. Meredith
HB 350,DJ Johnson
HB 350,C. Morgan
HB 351,J. Miller
HB 364,D. Bentley
HB 364,S. Santoro
HB 366,DJ Johnson
HB 368,D. St. Onge
HB 368,A. Simpson
HB 374,R. Benvenuti III
HB 374,C. Morgan
HB 374,M. Prunty
HB 378,J. DeCesare
HB 38,K. King
HB 38,R. Bunch
HB 38,D. Hale
HB 38,R. Heath
HB 38,C. Morgan
HB 38,S. Westrom
HB 384,R. Benvenuti III
HB 384,M. Prunty
HB 390,M. Prunty
HB 395,D. Elliott
HB 403,P. Pratt
HB 410,J. DuPlessis
HB 410,M. Dossett
HB 410,R. Meyer
HB 410,J. Petrie
HB 453,M. Hart
HB 471,S. Rudy
HB 471,R. Bunch
HB 471,J. Carney
HB 471,T. Couch
HB 471,R. Palumbo
HB 471,J. Richards
HB 471,D. Schamore
HB 473,J. DeCesare
HB 498,T. Moore
HB 50,K. Imes
HB 50,S. Wells
HB 50,A. Wuchner
HB 502,DJ Johnson
HB 520,J. Carney
HB 520,R. Heath
HB 540,D. St. Onge
HB 67,J. Tipton
HB 67,R. Benvenuti III
HB 67,R. Heath
HB 67,R. Palumbo
HB 67,D. St. Onge
HB 67,S. Westrom
HB 74,D. Mayfield
HB 74,M. Hart
HB 74,S. Santoro
HB 74,S. Westrom
HB 93,D. St. Onge
HB 93,R. Benvenuti III
HB 93,S. Santoro
HCR 59,R. Bunch
HCR 59,M. Hart
HCR 59,DJ Johnson
HCR 59,S. Riggs
HCR 59,T. Moore
HCR 59,K. King
HJR 56,R. Webber
HJR 56,D. Johnson
HJR 56,J. DuPlessis
HJR 56,A. Hatton
HJR 56,S. Miles
HJR 56,J. Tipton
SB 10,P. Hornback
SB 101,J. Adams
SB 101,J. Higdon
SB 101,M. McGarvey
SB 104,C. McDaniel
SB 107,R. Stivers II
SB 11,D. Carroll
SB 11,S. Humphries
SB 11,S. West
SB 116,S. Meredith
SB 117,M. Wise
SB 117,M. Wilson
SB 117,D. Carroll
SB 117,R. Girdler
SB 12,R. Stivers II
SB 122,W. Schroder
SB 126,C. McDaniel
SB 126,J. Schickel
SB 128,P. Hornback
SB 128,R. Girdler
SB 129,P. Hornback
SB 129,J. Adams
SB 129,D. Carroll
SB 129,C. Embry Jr.
SB 135,T. Buford
SB 136,J. Carpenter
SB 136,T. Buford
SB 136,J. Adams
SB 136,D. Carroll
SB 136,S. Humphries
SB 136,B. Smith
SB 136,M. Wise
SB 139,R. Webb
SB 140,P. Hornback
SB 146,J. Adams
SB 147,M. Wilson
SB 147,D. Givens
SB 150,D. Carroll
SB 150,R. Alvarado
SB 151,S. Meredith
SB 151,W. Schroder
SB 153,D. Givens
SB 153,M. Wilson
SB 153,W. Schroder
SB 159,J. Carpenter
SB 159,M. Wise
SB 159,R. Alvarado
SB 159,C. Embry Jr.
SB 159,M. McGarvey
SB 159,D. Thayer
SB 159,M. Wilson
SB 163,R. Girdler
SB 165,S. West
SB 17,A. Robinson
SB 17,D. Carroll
SB 17,C. Embry Jr.
SB 17,R. Girdler
SB 17,D. Seum
SB 17,D. Thayer
SB 17,M. Wilson
SB 17,M. Wise
SB 170,A. Kerr
SB 173,J. Bowen
SB 176,S. West
SB 177,R. Girdler
SB 182,W. Schroder
SB 182,J. Schickel
SB 183,J. Carpenter
SB 189,T. Buford
SB 189,R. Girdler
SB 189,G. Neal
SB 189,B. Smith
SB 189,J. Turner
SB 19,R. Alvarado
SB 19,D. Carroll
SB 19,R. Girdler
SB 19,W. Westerfield
SB 195,W. Westerfield
SB 197,J. Bowen
SB 2,J. Bowen
SB 2,C. McDaniel
SB 2,J. Adams
SB 2,R. Alvarado
SB 2,D. Carroll
SB 2,R. Girdler
SB 2,P. Hornback
SB 2,D. Thayer
SB 2,M. Wilson
SB 2,M. Wise
SB 205,S. Meredith
SB 21,C. Embry Jr.
SB 21,J. Adams
SB 21,M. Wilson
SB 218,D. Thayer
SB 218,R. Stivers II
SB 222,D. Seum
SB 222,J. Adams
SB 222,E. Harris
SB 224,W. Schroder
SB 236,J. Adams
SB 236,R. Alvarado
SB 236,D. Carroll
SB 236,C. Embry Jr.
SB 236,M. Wise
SB 238,D. Givens
SB 238,J. Carroll
SB 248,J. Carpenter
SB 249,J. Carpenter
SB 3,C. McDaniel
SB 3,J. Adams
SB 3,R. Alvarado
SB 3,J. Bowen
SB 3,D. Carroll
SB 3,C. Embry Jr.
SB 3,R. Girdler
SB 3,J. Schickel
SB 3,W. Schroder
SB 3,D. Seum
SB 3,D. Thayer
SB 3,M. Wise
SB 32,D. Carroll
SB 32,R. Alvarado
SB 32,R. Girdler
SB 32,S. Meredith
SB 32,M. Wise
SB 38,C. Embry Jr.
SB 38,J. Bowen
SB 38,D. Parrett
SB 39,D. Carroll
SB 4,R. Alvarado
SB 4,D. Thayer
SB 4,D. Carroll
SB 4,R. Girdler
SB 4,S. Humphries
SB 4,A. Kerr
SB 4,S. Meredith
SB 4,D. Seum
SB 4,W. Westerfield
SB 4,M. Wise
SB 42,J. Schickel
SB 42,D. Carroll
SB 42,C. Embry Jr.
SB 42,S. Meredith
SB 5,B. Smith
SB 5,W. Westerfield
SB 5,R. Alvarado
