"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB516",2,"Adkins","HB516","YEA"
"ga2017HB023",2,"Adkins","HB023","YEA"
"ga2017HB072",2,"Adkins","HB072","NAY"
"ga2017SB189",2,"Adkins","SB189","YEA"
"ga2017HB035",2,"Adkins","HB035","YEA"
"ga2017HB269",2,"Adkins","HB269","YEA"
"ga2017HB257",2,"Adkins","HB257","NAY"
"ga2017HB469",2,"Adkins","HB469","YEA"
"ga2017HB282",2,"Adkins","HB282","YEA"
"ga2017HCR59",2,"Adkins","HCR59","YEA"
"ga2017HB502",2,"Adkins","HB502","YEA"
"ga2017SB153",2,"Adkins","SB153","NAY"
"ga2017HB312",2,"Adkins","HB312","YEA"
"ga2017HB174",2,"Adkins","HB174","NAY"
"ga2017HB323",2,"Adkins","HB323","YEA"
"ga2017SB032",2,"Adkins","SB032","YEA"
"ga2017HB252",2,"Adkins","HB252","YEA"
"ga2017SB114",2,"Adkins","SB114","YEA"
"ga2017SB136",2,"Adkins","SB136","YEA"
"ga2017HB315",2,"Adkins","HB315","YEA"
"ga2017HB014",2,"Adkins","HB014","YEA"
"ga2017HB387",2,"Adkins","HB387","YEA"
"ga2017SB091",2,"Adkins","SB091","YEA"
"ga2017HB307",2,"Adkins","HB307","YEA"
"ga2017HB364",2,"Adkins","HB364","YEA"
"ga2017SB010",2,"Adkins","SB010","YEA"
"ga2017HB172",2,"Adkins","HB172","YEA"
"ga2017HB192",2,"Adkins","HB192","YEA"
"ga2017HB291",2,"Adkins","HB291","YEA"
"ga2017HB359",2,"Adkins","HB359","YEA"
"ga2017HB145",2,"Adkins","HB145","YEA"
"ga2017SB050",2,"Adkins","SB050","YEA"
"ga2017HB443",2,"Adkins","HB443","YEA"
"ga2017HB245",2,"Adkins","HB245","YEA"
"ga2017HB539",2,"Adkins","HB539","YEA"
"ga2017SB031",2,"Adkins","SB031","YEA"
"ga2017HB404",2,"Adkins","HB404","NAY"
"ga2017SB139",2,"Adkins","SB139","YEA"
"ga2017SB001",2,"Adkins","SB001","YEA"
"ga2017HB524",2,"Adkins","HB524","YEA"
"ga2017HB284",2,"Adkins","HB284","YEA"
"ga2017HB119",2,"Adkins","HB119","YEA"
"ga2017HB473",2,"Adkins","HB473","YEA"
"ga2017HB492",2,"Adkins","HB492","YEA"
"ga2017HB390",2,"Adkins","HB390","NAY"
"ga2017HB238",2,"Adkins","HB238","YEA"
"ga2017HB003",2,"Adkins","HB003","NAY"
"ga2017HB337",2,"Adkins","HB337","YEA"
"ga2017SB165",2,"Adkins","SB165","YEA"
"ga2017HB095",2,"Adkins","HB095","YEA"
"ga2017HB151",2,"Adkins","HB151","NAY"
"ga2017SB003",2,"Adkins","SB003","YEA"
"ga2017HB277",2,"Adkins","HB277","YEA"
"ga2017HB498",2,"Adkins","HB498","YEA"
"ga2017HB242",2,"Adkins","HB242","NAY"
"ga2017SB039",2,"Adkins","SB039","YEA"
"ga2017SB235",2,"Adkins","SB235","YEA"
"ga2017SB079",2,"Adkins","SB079","YEA"
"ga2017SB005",2,"Adkins","SB005","YEA"
"ga2017HB112",2,"Adkins","HB112","YEA"
"ga2017SB117",2,"Adkins","SB117","YEA"
"ga2017HB276",2,"Adkins","HB276","YEA"
"ga2017HCR48",2,"Adkins","HCR48","YEA"
"ga2017HB471",2,"Adkins","HB471","YEA"
"ga2017SB219",2,"Adkins","SB219","YEA"
