"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB195",97,"Richards","HB195","YAY"
"ga2017HB376",97,"Richards","HB376","YAY"
"ga2017SB081",97,"Richards","SB081","YEA"
"ga2017HCR48",97,"Richards","HCR48","YAY"
"ga2017HB481",97,"Richards","HB481","YAY"
"ga2017HB540",97,"Richards","HB540","YAY"
"ga2017HB206",97,"Richards","HB206","YAY"
"ga2017SB183",97,"Richards","SB183","YAY"
"ga2017SB005",97,"Richards","SB005","YEA"
"ga2017HB192",97,"Richards","HB192","YAY"
"ga2017SB079",97,"Richards","SB079","YAY"
"ga2017HB222",97,"Richards","HB222","YAY"
"ga2017HB448",97,"Richards","HB448","YAY"
"ga2017HB145",97,"Richards","HB145","YAY"
"ga2017SB050",97,"Richards","SB050","YAY"
"ga2017HB311",97,"Richards","HB311","YAY"
"ga2017HB304",97,"Richards","HB304","YAY"
"ga2017HB122",97,"Richards","HB122","YAY"
"ga2017SB038",97,"Richards","SB038","YAY"
"ga2017HB516",97,"Richards","HB516","YAY"
"ga2017SB001",97,"Richards","SB001","YAY"
"ga2017HB377",97,"Richards","HB377","YAY"
"ga2017SB083",97,"Richards","SB083","YEA"
"ga2017HB482",97,"Richards","HB482","YAY"
"ga2017SB163",97,"Richards","SB163","YAY"
"ga2017SB151",97,"Richards","SB151","YAY"
"ga2017SB189",97,"Richards","SB189","YAY"
"ga2017HB177",97,"Richards","HB177","YAY"
"ga2017SB176",97,"Richards","SB176","YAY"
"ga2017HB095",97,"Richards","HB095","YAY"
"ga2017HB191",97,"Richards","HB191","YAY"
"ga2017HB408",97,"Richards","HB408","YAY"
"ga2017SB032",97,"Richards","SB032","YEA"
"ga2017SB147",97,"Richards","SB147","YAY"
"ga2017HB013",97,"Richards","HB013","YAY"
"ga2017SB042",97,"Richards","SB042","YAY"
"ga2017HB128",97,"Richards","HB128","YAY"
"ga2017HB072",97,"Richards","HB072","NAY"
"ga2017HB023",97,"Richards","HB023","YAY"
"ga2017SB238",97,"Richards","SB238","YAY"
"ga2017HB515",97,"Richards","HB515","YAY"
"ga2017HJR56",97,"Richards","HJR56","YAY"
"ga2017HB241",97,"Richards","HB241","YAY"
"ga2017HB484",97,"Richards","HB484","YAY"
"ga2017SB117",97,"Richards","SB117","YAY"
"ga2017HB223",97,"Richards","HB223","NAY"
"ga2017HB234",97,"Richards","HB234","YEA"
"ga2017HB276",97,"Richards","HB276","YAY"
"ga2017HB291",97,"Richards","HB291","YAY"
"ga2017SB089",97,"Richards","SB089","YAY"
"ga2017HB281",97,"Richards","HB281","NAY"
"ga2017HB074",97,"Richards","HB074","YAY"
"ga2017SB126",97,"Richards","SB126","YEA"
"ga2017HB272",97,"Richards","HB272","YAY"
"ga2017SB031",97,"Richards","SB031","YAY"
"ga2017HB253",97,"Richards","HB253","YAY"
"ga2017SB219",97,"Richards","SB219","YAY"
"ga2017HB396",97,"Richards","HB396","YAY"
"ga2017SB150",97,"Richards","SB150","YEA"
"ga2017HB158",97,"Richards","HB158","YAY"
"ga2017HB239",97,"Richards","HB239","YAY"
"ga2017HB310",97,"Richards","HB310","YAY"
"ga2017HB390",97,"Richards","HB390","YEA"
"ga2017HB227",97,"Richards","HB227","YAY"
"ga2017HB293",97,"Richards","HB293","NV"
"ga2017HB112",97,"Richards","HB112","NV"
"ga2017HB296",97,"Richards","HB296","YAY"
"ga2017HB215",97,"Richards","HB215","YEA"
"ga2017HB271",97,"Richards","HB271","YAY"
"ga2017HB282",97,"Richards","HB282","YAY"
"ga2017HCR59",97,"Richards","HCR59","YEA"
"ga2017HB269",97,"Richards","HB269","YAY"
"ga2017SB153",97,"Richards","SB153","YAY"
"ga2017HB058",97,"Richards","HB058","NAY"
"ga2017HB261",97,"Richards","HB261","YAY"
"ga2017SB235",97,"Richards","SB235","YAY"
"ga2017HB306",97,"Richards","HB306","YAY"
"ga2017HB394",97,"Richards","HB394","NAY"
"ga2017SB120",97,"Richards","SB120","YEA"
"ga2017HB522",97,"Richards","HB522","YAY"
"ga2017HB153",97,"Richards","HB153","YAY"
"ga2017HB237",97,"Richards","HB237","YAY"
"ga2017HB309",97,"Richards","HB309","YAY"
"ga2017HB299",97,"Richards","HB299","YAY"
"ga2017HB226",97,"Richards","HB226","YAY"
"ga2017HB231",97,"Richards","HB231","YAY"
"ga2017SB197",97,"Richards","SB197","YAY"
"ga2017HB351",97,"Richards","HB351","YAY"
"ga2017HB144",97,"Richards","HB144","YAY"
"ga2017HB027",97,"Richards","HB027","YEA"
"ga2017HB270",97,"Richards","HB270","YAY"
"ga2017HB002",97,"Richards","HB002","YEA"
"ga2017HB268",97,"Richards","HB268","YAY"
"ga2017HB318",97,"Richards","HB318","YAY"
"ga2017HB180",97,"Richards","HB180","YAY"
"ga2017HB035",97,"Richards","HB035","YAY"
"ga2017HB404",97,"Richards","HB404","NAY"
"ga2017HB255",97,"Richards","HB255","YAY"
"ga2017SB139",97,"Richards","SB139","YEA"
"ga2017HB245",97,"Richards","HB245","YAY"
"ga2017HB388",97,"Richards","HB388","YAY"
"ga2017SB073",97,"Richards","SB073","YAY"
"ga2017HB244",97,"Richards","HB244","YAY"
"ga2017HB492",97,"Richards","HB492","YAY"
"ga2017SB122",97,"Richards","SB122","YAY"
"ga2017HB225",97,"Richards","HB225","YAY"
"ga2017HB238",97,"Richards","HB238","YEA"
"ga2017HB284",97,"Richards","HB284","YAY"
"ga2017HB387",97,"Richards","HB387","YAY"
"ga2017HB003",97,"Richards","HB003","YEA"
"ga2017SB128",97,"Richards","SB128","YAY"
"ga2017HB093",97,"Richards","HB093","YAY"
"ga2017HB067",97,"Richards","HB067","YAY"
"ga2017HB151",97,"Richards","HB151","NAY"
"ga2017HB368",97,"Richards","HB368","YAY"
"ga2017HB312",97,"Richards","HB312","YAY"
"ga2017HB026",97,"Richards","HB026","YAY"
"ga2017HB401",97,"Richards","HB401","YAY"
"ga2017SB039",97,"Richards","SB039","YAY"
"ga2017HB116",97,"Richards","HB116","YAY"
"ga2017SB114",97,"Richards","SB114","YAY"
"ga2017HB262",97,"Richards","HB262","YAY"
"ga2017SB091",97,"Richards","SB091","YEA"
"ga2017HB520",97,"Richards","HB520","NAY"
"ga2017HB014",97,"Richards","HB014","YAY"
"ga2017HB364",97,"Richards","HB364","YEA"
"ga2017HB301",97,"Richards","HB301","YAY"
"ga2017HB277",97,"Richards","HB277","YAY"
"ga2017HB473",97,"Richards","HB473","YEA"
"ga2017HB343",97,"Richards","HB343","NV"
"ga2017SB129",97,"Richards","SB129","YAY"
"ga2017SB010",97,"Richards","SB010","YAY"
"ga2017HB329",97,"Richards","HB329","YAY"
"ga2017SB002",97,"Richards","SB002","YAY"
"ga2017HB366",97,"Richards","HB366","NAY"
"ga2017HB315",97,"Richards","HB315","YAY"
"ga2017HB471",97,"Richards","HB471","YEA"
