"bill_id","BillNumber","SessionID"
"ga2017HB001","HB001","ga2017"
"ga2017HB002","HB002","ga2017"
"ga2017HB003","HB003","ga2017"
"ga2017HB004","HB004","ga2017"
"ga2017HB005","HB005","ga2017"
"ga2017HB006","HB006","ga2017"
"ga2017HB007","HB007","ga2017"
"ga2017HB008","HB008","ga2017"
"ga2017HB009","HB009","ga2017"
"ga2017HB010","HB010","ga2017"
"ga2017HB011","HB011","ga2017"
"ga2017HB012","HB012","ga2017"
"ga2017HB013","HB013","ga2017"
"ga2017HB014","HB014","ga2017"
"ga2017HB015","HB015","ga2017"
"ga2017HB016","HB016","ga2017"
"ga2017HB017","HB017","ga2017"
"ga2017HB018","HB018","ga2017"
"ga2017HB019","HB019","ga2017"
"ga2017HB020","HB020","ga2017"
"ga2017HB022","HB022","ga2017"
"ga2017HB023","HB023","ga2017"
"ga2017HB024","HB024","ga2017"
"ga2017HB025","HB025","ga2017"
"ga2017HB026","HB026","ga2017"
"ga2017HB027","HB027","ga2017"
"ga2017HB028","HB028","ga2017"
"ga2017HB029","HB029","ga2017"
"ga2017HB030","HB030","ga2017"
"ga2017HB031","HB031","ga2017"
"ga2017HB033","HB033","ga2017"
"ga2017HB034","HB034","ga2017"
"ga2017HB035","HB035","ga2017"
"ga2017HB036","HB036","ga2017"
"ga2017HB037","HB037","ga2017"
"ga2017HB038","HB038","ga2017"
"ga2017HB039","HB039","ga2017"
"ga2017HB040","HB040","ga2017"
"ga2017HB041","HB041","ga2017"
"ga2017HB042","HB042","ga2017"
"ga2017HB043","HB043","ga2017"
"ga2017HB044","HB044","ga2017"
"ga2017HB045","HB045","ga2017"
"ga2017HB046","HB046","ga2017"
"ga2017HB047","HB047","ga2017"
"ga2017HB048","HB048","ga2017"
"ga2017HB050","HB050","ga2017"
"ga2017HB051","HB051","ga2017"
"ga2017HB052","HB052","ga2017"
"ga2017HB053","HB053","ga2017"
"ga2017HB054","HB054","ga2017"
"ga2017HB055","HB055","ga2017"
"ga2017HB056","HB056","ga2017"
"ga2017HB057","HB057","ga2017"
"ga2017HB058","HB058","ga2017"
"ga2017HB059","HB059","ga2017"
"ga2017HB060","HB060","ga2017"
"ga2017HB061","HB061","ga2017"
"ga2017HB062","HB062","ga2017"
"ga2017HB063","HB063","ga2017"
"ga2017HB064","HB064","ga2017"
"ga2017HB065","HB065","ga2017"
"ga2017HB066","HB066","ga2017"
"ga2017HB067","HB067","ga2017"
"ga2017HB068","HB068","ga2017"
"ga2017HB069","HB069","ga2017"
"ga2017HB070","HB070","ga2017"
"ga2017HB071","HB071","ga2017"
"ga2017HB072","HB072","ga2017"
"ga2017HB073","HB073","ga2017"
"ga2017HB074","HB074","ga2017"
"ga2017HB075","HB075","ga2017"
"ga2017HB076","HB076","ga2017"
"ga2017HB077","HB077","ga2017"
"ga2017HB078","HB078","ga2017"
"ga2017HB080","HB080","ga2017"
"ga2017HB081","HB081","ga2017"
"ga2017HB082","HB082","ga2017"
"ga2017HB083","HB083","ga2017"
"ga2017HB084","HB084","ga2017"
"ga2017HB087","HB087","ga2017"
"ga2017HB088","HB088","ga2017"
"ga2017HB089","HB089","ga2017"
"ga2017HB090","HB090","ga2017"
"ga2017HB091","HB091","ga2017"
"ga2017HB092","HB092","ga2017"
"ga2017HB093","HB093","ga2017"
"ga2017HB094","HB094","ga2017"
"ga2017HB095","HB095","ga2017"
"ga2017HB096","HB096","ga2017"
"ga2017HB098","HB098","ga2017"
"ga2017HB099","HB099","ga2017"
"ga2017HC048","HC048","ga2017"
"ga2017HC059","HC059","ga2017"
"ga2017HC090","HC090","ga2017"
"ga2017HJ056","HJ056","ga2017"
"ga2017SB001","SB001","ga2017"
"ga2017SB002","SB002","ga2017"
"ga2017SB003","SB003","ga2017"
"ga2017SB004","SB004","ga2017"
"ga2017SB005","SB005","ga2017"
"ga2017SB006","SB006","ga2017"
"ga2017SB007","SB007","ga2017"
"ga2017SB008","SB008","ga2017"
"ga2017SB009","SB009","ga2017"
"ga2017SB010","SB010","ga2017"
"ga2017SB011","SB011","ga2017"
"ga2017SB012","SB012","ga2017"
"ga2017SB013","SB013","ga2017"
"ga2017SB014","SB014","ga2017"
"ga2017SB015","SB015","ga2017"
"ga2017SB016","SB016","ga2017"
"ga2017SB017","SB017","ga2017"
"ga2017SB018","SB018","ga2017"
"ga2017SB019","SB019","ga2017"
"ga2017SB020","SB020","ga2017"
"ga2017SB021","SB021","ga2017"
"ga2017SB022","SB022","ga2017"
"ga2017SB024","SB024","ga2017"
"ga2017SB026","SB026","ga2017"
"ga2017SB028","SB028","ga2017"
"ga2017SB029","SB029","ga2017"
"ga2017SB031","SB031","ga2017"
"ga2017SB032","SB032","ga2017"
"ga2017SB035","SB035","ga2017"
"ga2017SB036","SB036","ga2017"
"ga2017SB038","SB038","ga2017"
"ga2017SB039","SB039","ga2017"
"ga2017SB040","SB040","ga2017"
"ga2017SB042","SB042","ga2017"
"ga2017SB045","SB045","ga2017"
"ga2017SB046","SB046","ga2017"
"ga2017SB047","SB047","ga2017"
"ga2017SB048","SB048","ga2017"
"ga2017SB049","SB049","ga2017"
"ga2017SB050","SB050","ga2017"
"ga2017SB051","SB051","ga2017"
"ga2017SB053","SB053","ga2017"
"ga2017SB056","SB056","ga2017"
"ga2017SB059","SB059","ga2017"
"ga2017SB061","SB061","ga2017"
"ga2017SB062","SB062","ga2017"
"ga2017SB063","SB063","ga2017"
"ga2017SB065","SB065","ga2017"
"ga2017SB070","SB070","ga2017"
"ga2017SB073","SB073","ga2017"
"ga2017SB075","SB075","ga2017"
"ga2017SB076","SB076","ga2017"
"ga2017SB077","SB077","ga2017"
"ga2017SB078","SB078","ga2017"
"ga2017SB079","SB079","ga2017"
"ga2017SB081","SB081","ga2017"
"ga2017SB082","SB082","ga2017"
"ga2017SB083","SB083","ga2017"
"ga2017SB086","SB086","ga2017"
"ga2017SB088","SB088","ga2017"
"ga2017SB089","SB089","ga2017"
"ga2017SB090","SB090","ga2017"
"ga2017SB091","SB091","ga2017"
"ga2017SB092","SB092","ga2017"
"ga2017SB094","SB094","ga2017"
"ga2017SB095","SB095","ga2017"
"ga2017SB097","SB097","ga2017"
"ga2017SB099","SB099","ga2017"
