"legislator_id","bill_id","bill","sponsors"
83,"ga2017SB069","SB069","G. Neal"
83,"ga2017SB133","SB133","G. Neal"
83,"ga2017SB070","SB070","G. Neal"
83,"ga2017SB131","SB131","G. Neal"
83,"ga2017SB037","SB037","G. Neal"
83,"ga2017SB068","SB068","G. Neal"
83,"ga2017SB035","SB035","G. Neal"
83,"ga2017SB189","SB189","G. Neal"
83,"ga2017SB072","SB072","G. Neal"
83,"ga2017SB134","SB134","G. Neal"
83,"ga2017SB071","SB071","G. Neal"
83,"ga2017SB028","SB028","G. Neal"
83,"ga2017SB036","SB036","G. Neal"
83,"ga2017SB034","SB034","G. Neal"
1,"ga2017SB108","SB108","J. Adams"
1,"ga2017SB142","SB142","J. Adams"
1,"ga2017SB191","SB191","J. Adams"
1,"ga2017SB168","SB168","J. Adams"
1,"ga2017SB101","SB101","J. Adams"
1,"ga2017SB003","SB003","J. Adams"
1,"ga2017SB102","SB102","J. Adams"
1,"ga2017SB236","SB236","J. Adams"
1,"ga2017SB091","SB091","J. Adams"
1,"ga2017SB089","SB089","J. Adams"
1,"ga2017SB066","SB066","J. Adams"
1,"ga2017SB021","SB021","J. Adams"
1,"ga2017SB204","SB204","J. Adams"
1,"ga2017SB067","SB067","J. Adams"
1,"ga2017SB146","SB146","J. Adams"
1,"ga2017SB131","SB131","J. Adams"
1,"ga2017SB096","SB096","J. Adams"
1,"ga2017SB169","SB169","J. Adams"
1,"ga2017SB078","SB078","J. Adams"
1,"ga2017SB129","SB129","J. Adams"
1,"ga2017SB009","SB009","J. Adams"
1,"ga2017SB192","SB192","J. Adams"
1,"ga2017SB015","SB015","J. Adams"
1,"ga2017SB222","SB222","J. Adams"
1,"ga2017SB141","SB141","J. Adams"
1,"ga2017SB234","SB234","J. Adams"
1,"ga2017SB099","SB099","J. Adams"
1,"ga2017SB002","SB002","J. Adams"
1,"ga2017SB136","SB136","J. Adams"
8,"ga2017SB045","SB045","J. Bowen"
8,"ga2017SB043","SB043","J. Bowen"
8,"ga2017SB038","SB038","J. Bowen"
8,"ga2017SB226","SB226","J. Bowen"
8,"ga2017SB197","SB197","J. Bowen"
8,"ga2017SB003","SB003","J. Bowen"
8,"ga2017SB002","SB002","J. Bowen"
8,"ga2017SB005","SB005","J. Bowen"
8,"ga2017SB173","SB173","J. Bowen"
17,"ga2017SB015","SB015","J. Carpenter"
17,"ga2017SB184","SB184","J. Carpenter"
17,"ga2017SB014","SB014","J. Carpenter"
17,"ga2017SB112","SB112","J. Carpenter"
17,"ga2017SB009","SB009","J. Carpenter"
17,"ga2017SB249","SB249","J. Carpenter"
17,"ga2017SB248","SB248","J. Carpenter"
17,"ga2017SB159","SB159","J. Carpenter"
17,"ga2017SB214","SB214","J. Carpenter"
17,"ga2017SB221","SB221","J. Carpenter"
17,"ga2017SB183","SB183","J. Carpenter"
17,"ga2017SB099","SB099","J. Carpenter"
17,"ga2017SB136","SB136","J. Carpenter"
19,"ga2017SB064","SB064","J. Carroll"
19,"ga2017SB238","SB238","J. Carroll"
19,"ga2017SB065","SB065","J. Carroll"
19,"ga2017SB137","SB137","J. Carroll"
19,"ga2017SB047","SB047","J. Carroll"
48,"ga2017SB112","SB112","J. Higdon"
48,"ga2017SB101","SB101","J. Higdon"
48,"ga2017SB145","SB145","J. Higdon"
48,"ga2017SB016","SB016","J. Higdon"
48,"ga2017SB201","SB201","J. Higdon"
48,"ga2017SB132","SB132","J. Higdon"
48,"ga2017SB060","SB060","J. Higdon"
107,"ga2017SB152","SB152","J. Schickel"
107,"ga2017SB042","SB042","J. Schickel"
107,"ga2017SB005","SB005","J. Schickel"
107,"ga2017SB027","SB027","J. Schickel"
107,"ga2017SB041","SB041","J. Schickel"
107,"ga2017SB058","SB058","J. Schickel"
107,"ga2017SB182","SB182","J. Schickel"
107,"ga2017SB112","SB112","J. Schickel"
107,"ga2017SB102","SB102","J. Schickel"
107,"ga2017SB026","SB026","J. Schickel"
107,"ga2017SB007","SB007","J. Schickel"
107,"ga2017SB123","SB123","J. Schickel"
107,"ga2017SB126","SB126","J. Schickel"
107,"ga2017SB053","SB053","J. Schickel"
107,"ga2017SB226","SB226","J. Schickel"
107,"ga2017SB009","SB009","J. Schickel"
