bill,sponsors
SB76,P. Clark
SB77,NA
SB78,R. Alvarado
SB78,J. Adams
SB79,R. Alvarado
SB79,D. Carroll
SB80,M. Wilson
SB81,NA
SB82,NA
SB83,T. Buford
SB84,R. Thomas
SB85,R. Alvarado
SB86,R. Alvarado
SB87,D. Seum
SB87,W. Westerfield
SB88,D. Seum
SB89,J. Adams
SB89,R. Alvarado
SB89,D. Carroll
SB89,M. McGarvey
SB90,R. Thomas
SB91,J. Adams
SB91,R. Alvarado
SB91,D. Carroll
SB91,S. Humphries
SB91,A. Kerr
SB91,M. McGarvey
SB91,R. Thomas
SB92,D. Ridley
SB93,R. Alvarado
SB94,R. Alvarado
SB95,R. Alvarado
SB96,J. Adams
SB97,T. Buford
SB98,T. Buford
SB99,R. Alvarado
SB99,S. West
SB99,J. Adams
SB99,T. Buford
SB99,J. Carpenter
SB99,D. Carroll
SB99,R. Girdler
SB99,S. Meredith
SB99,W. Schroder
SB99,D. Seum
SB99,M. Wise
SB101,J. Adams
SB101,J. Higdon
SB101,M. McGarvey
SB102,R. Alvarado
SB102,M. Wise
SB102,J. Adams
SB102,J. Schickel
SB102,D. Thayer
SB102,M. Wilson
SB104,C. McDaniel
SB105,T. Buford
SB105,P. Clark
SB105,D. Seum
SB106,D. Parrett
SB107,NA
SB108,J. Adams
SB108,R. Alvarado
SB108,R. Thomas
SB109,M. McGarvey
SB109,D. Seum
SB110,E. Harris
SB111,R. Alvarado
SB112,C. McDaniel
SB112,T. Buford
SB112,J. Carpenter
SB112,D. Carroll
SB112,R. Girdler
SB112,J. Higdon
SB112,S. Meredith
SB112,A. Robinson
SB112,J. Schickel
SB112,D. Seum
SB113,R. Thomas
SB114,R. Girdler
SB115,W. Westerfield
SB116,S. Meredith
SB117,M. Wise
SB117,M. Wilson
SB117,D. Carroll
SB117,R. Girdler
SB118,W. Schroder
SB119,D. Givens
SB120,W. Westerfield
SB121,D. Seum
SB122,W. Schroder
SB123,J. Schickel
SB123,R. Girdler
SB124,T. Buford
SB125,T. Buford
SB126,C. McDaniel
SB126,J. Schickel
SB127,J. Turner
SB128,P. Hornback
SB128,R. Girdler
SB129,P. Hornback
SB129,J. Adams
SB129,D. Carroll
SB130,S. Humphries
SB130,D. Carroll
SB130,M. Wise
SB131,G. Neal
SB131,J. Adams
SB131,P. Clark
SB131,R. Thomas
SB132,J. Higdon
SB133,G. Neal
SB134,G. Neal
SB135,T. Buford
SB136,J. Carpenter
SB136,T. Buford
SB136,J. Adams
SB136,D. Carroll
SB136,S. Humphries
SB136,B. Smith
SB136,M. Wise
SB137,J. Carroll
SB137,R. Thomas
SB138,R. Webb
SB138,D. Carroll
SB138,S. Meredith
SB138,W. Westerfield
SB138,M. Wilson
SB139,R. Webb
