BillNumber,SessionID,BillID
HB001,ga2017,ga2017HB001
HB002,ga2017,ga2017HB002
HB003,ga2017,ga2017HB003
HB004,ga2017,ga2017HB004
HB005,ga2017,ga2017HB005
HB006,ga2017,ga2017HB006
HB007,ga2017,ga2017HB007
HB008,ga2017,ga2017HB008
HB009,ga2017,ga2017HB009
HB010,ga2017,ga2017HB010
HB011,ga2017,ga2017HB011
HB012,ga2017,ga2017HB012
HB013,ga2017,ga2017HB013
HB014,ga2017,ga2017HB014
HB015,ga2017,ga2017HB015
HB016,ga2017,ga2017HB016
HB017,ga2017,ga2017HB017
HB018,ga2017,ga2017HB018
HB019,ga2017,ga2017HB019
HB020,ga2017,ga2017HB020
HB022,ga2017,ga2017HB022
HB023,ga2017,ga2017HB023
HB024,ga2017,ga2017HB024
HB025,ga2017,ga2017HB025
HB026,ga2017,ga2017HB026
HB027,ga2017,ga2017HB027
HB028,ga2017,ga2017HB028
HB029,ga2017,ga2017HB029
HB030,ga2017,ga2017HB030
HB031,ga2017,ga2017HB031
HB033,ga2017,ga2017HB033
HB034,ga2017,ga2017HB034
HB035,ga2017,ga2017HB035
HB036,ga2017,ga2017HB036
HB037,ga2017,ga2017HB037
HB038,ga2017,ga2017HB038
HB039,ga2017,ga2017HB039
HB040,ga2017,ga2017HB040
HB041,ga2017,ga2017HB041
HB042,ga2017,ga2017HB042
HB043,ga2017,ga2017HB043
HB044,ga2017,ga2017HB044
HB045,ga2017,ga2017HB045
HB046,ga2017,ga2017HB046
HB047,ga2017,ga2017HB047
HB048,ga2017,ga2017HB048
HB050,ga2017,ga2017HB050
HB051,ga2017,ga2017HB051
HB052,ga2017,ga2017HB052
HB053,ga2017,ga2017HB053
HB054,ga2017,ga2017HB054
HB055,ga2017,ga2017HB055
HB056,ga2017,ga2017HB056
HB057,ga2017,ga2017HB057
HB058,ga2017,ga2017HB058
HB059,ga2017,ga2017HB059
HB060,ga2017,ga2017HB060
HB061,ga2017,ga2017HB061
HB062,ga2017,ga2017HB062
HB063,ga2017,ga2017HB063
HB064,ga2017,ga2017HB064
HB065,ga2017,ga2017HB065
HB066,ga2017,ga2017HB066
HB067,ga2017,ga2017HB067
HB068,ga2017,ga2017HB068
HB069,ga2017,ga2017HB069
HB070,ga2017,ga2017HB070
HB071,ga2017,ga2017HB071
HB072,ga2017,ga2017HB072
HB073,ga2017,ga2017HB073
HB074,ga2017,ga2017HB074
HB075,ga2017,ga2017HB075
HB076,ga2017,ga2017HB076
HB077,ga2017,ga2017HB077
HB078,ga2017,ga2017HB078
HB080,ga2017,ga2017HB080
HB081,ga2017,ga2017HB081
HB082,ga2017,ga2017HB082
HB083,ga2017,ga2017HB083
HB084,ga2017,ga2017HB084
HB087,ga2017,ga2017HB087
HB088,ga2017,ga2017HB088
HB089,ga2017,ga2017HB089
HB090,ga2017,ga2017HB090
HB091,ga2017,ga2017HB091
HB092,ga2017,ga2017HB092
HB093,ga2017,ga2017HB093
HB094,ga2017,ga2017HB094
HB095,ga2017,ga2017HB095
HB096,ga2017,ga2017HB096
HB098,ga2017,ga2017HB098
HB099,ga2017,ga2017HB099
HC048,ga2017,ga2017HC048
HC059,ga2017,ga2017HC059
HC090,ga2017,ga2017HC090
HJ056,ga2017,ga2017HJ056
SB001,ga2017,ga2017SB001
SB002,ga2017,ga2017SB002
SB003,ga2017,ga2017SB003
SB004,ga2017,ga2017SB004
SB005,ga2017,ga2017SB005
SB006,ga2017,ga2017SB006
SB007,ga2017,ga2017SB007
SB008,ga2017,ga2017SB008
SB009,ga2017,ga2017SB009
SB010,ga2017,ga2017SB010
SB011,ga2017,ga2017SB011
SB012,ga2017,ga2017SB012
SB013,ga2017,ga2017SB013
SB014,ga2017,ga2017SB014
SB015,ga2017,ga2017SB015
SB016,ga2017,ga2017SB016
SB017,ga2017,ga2017SB017
SB018,ga2017,ga2017SB018
SB019,ga2017,ga2017SB019
SB020,ga2017,ga2017SB020
SB021,ga2017,ga2017SB021
SB022,ga2017,ga2017SB022
SB024,ga2017,ga2017SB024
SB026,ga2017,ga2017SB026
SB028,ga2017,ga2017SB028
SB029,ga2017,ga2017SB029
SB031,ga2017,ga2017SB031
SB032,ga2017,ga2017SB032
SB035,ga2017,ga2017SB035
SB036,ga2017,ga2017SB036
SB038,ga2017,ga2017SB038
SB039,ga2017,ga2017SB039
